val,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
44.13161919233967,10,18,21,23,29,63,91,101,145,186,198,207,221,230,255,266,272,289,328,329,360,378,412,422,457,466,474,495,501,504,520,521,554,587,588,592,600,610,636,676,703,745,747,765,782,793,804,808,811,862,863,864,879,886,892,907,946,951,977,985,989,991,1006,1018,1030,1039,1071,1076,1084,1086,1107,1108,1130,1131,1147,1179,1180,1224,1228,1230,1231,1270,1284,1291,1310,1326,1335,1336,1345,1346,1377,1405,1441,1469,1473,1477,1480,1488,1497,1503
44.13161919233963,10,18,21,23,29,63,91,101,145,186,198,207,221,230,255,266,272,289,328,329,360,378,412,422,457,466,474,495,501,504,520,521,554,587,588,592,600,610,636,676,703,745,747,765,782,793,804,808,811,862,863,864,879,886,892,907,946,951,977,985,989,991,1006,1018,1030,1039,1071,1076,1084,1086,1107,1108,1130,1131,1147,1179,1180,1224,1228,1230,1231,1270,1284,1291,1310,1326,1335,1336,1345,1346,1377,1405,1441,1469,1473,1477,1480,1488,1497,1503
44.13156814143784,10,18,21,29,63,77,91,101,145,193,198,207,255,266,272,289,328,329,360,378,412,422,457,466,474,495,501,504,520,521,554,587,588,592,600,610,636,676,703,731,745,747,765,782,785,793,804,808,862,863,864,886,888,892,907,946,951,977,989,991,1006,1018,1030,1039,1071,1076,1084,1103,1107,1108,1130,1131,1147,1159,1179,1180,1228,1230,1231,1245,1270,1284,1291,1310,1326,1336,1338,1345,1346,1355,1377,1405,1441,1469,1473,1477,1480,1488,1497,1503
44.131568141437796,10,18,21,29,63,77,91,101,145,193,198,207,255,266,272,289,328,329,360,378,412,422,457,466,474,495,501,504,520,521,554,587,588,592,600,610,636,676,703,731,745,747,765,782,785,793,804,808,862,863,864,886,888,892,907,946,951,977,989,991,1006,1018,1030,1039,1071,1076,1084,1103,1107,1108,1130,1131,1147,1159,1179,1180,1228,1230,1231,1245,1270,1284,1291,1310,1326,1336,1338,1345,1346,1355,1377,1405,1441,1469,1473,1477,1480,1488,1497,1503
44.13118905086351,10,18,21,23,29,43,63,91,101,145,186,198,203,207,230,255,266,272,289,328,329,356,360,378,412,422,457,466,474,501,504,520,521,554,587,588,592,600,610,630,636,676,703,745,747,753,765,782,804,808,862,863,864,879,886,892,907,946,951,977,989,991,1006,1018,1030,1039,1071,1075,1076,1084,1107,1130,1131,1179,1180,1228,1230,1231,1270,1284,1291,1310,1323,1326,1336,1345,1346,1355,1370,1377,1405,1441,1469,1473,1477,1480,1488,1491,1497,1503
44.13118905086346,10,18,21,23,29,43,63,91,101,145,186,198,203,207,230,255,266,272,289,328,329,356,360,378,412,422,457,466,474,501,504,520,521,554,587,588,592,600,610,630,636,676,703,745,747,753,765,782,804,808,862,863,864,879,886,892,907,946,951,977,989,991,1006,1018,1030,1039,1071,1075,1076,1084,1107,1130,1131,1179,1180,1228,1230,1231,1270,1284,1291,1310,1323,1326,1336,1345,1346,1355,1370,1377,1405,1441,1469,1473,1477,1480,1488,1491,1497,1503
44.130960906920905,10,18,21,23,29,63,91,101,145,193,198,203,207,221,230,255,266,272,289,328,329,360,378,412,422,457,466,474,495,501,504,520,521,554,587,588,592,600,610,636,676,703,745,747,753,765,782,793,804,808,862,863,864,886,892,907,946,951,977,989,991,1006,1018,1030,1039,1071,1075,1076,1084,1086,1107,1130,1131,1179,1180,1224,1228,1230,1231,1245,1284,1291,1310,1323,1326,1335,1336,1345,1346,1355,1377,1405,1441,1469,1473,1477,1488,1491,1497,1503
44.13075122358208,10,18,21,23,29,63,77,91,101,145,186,193,198,203,207,221,255,266,289,328,329,360,378,412,422,457,466,474,495,501,504,520,521,554,587,588,592,600,610,636,676,703,731,745,747,765,782,785,793,804,808,862,863,864,879,892,907,946,951,977,989,991,1006,1018,1030,1039,1071,1076,1084,1107,1130,1131,1159,1179,1180,1228,1230,1231,1270,1284,1291,1310,1323,1326,1336,1338,1345,1346,1355,1377,1405,1432,1441,1469,1473,1477,1480,1488,1497,1503
44.13075122358203,10,18,21,23,29,63,77,91,101,145,186,193,198,203,207,221,255,266,289,328,329,360,378,412,422,457,466,474,495,501,504,520,521,554,587,588,592,600,610,636,676,703,731,745,747,765,782,785,793,804,808,862,863,864,879,892,907,946,951,977,989,991,1006,1018,1030,1039,1071,1076,1084,1107,1130,1131,1159,1179,1180,1228,1230,1231,1270,1284,1291,1310,1323,1326,1336,1338,1345,1346,1355,1377,1405,1432,1441,1469,1473,1477,1480,1488,1497,1503
44.130737641207325,10,18,21,23,29,63,77,91,101,145,198,207,221,255,266,272,289,328,329,360,378,412,422,457,466,474,495,501,504,520,521,554,587,588,592,600,610,636,676,703,731,745,747,765,782,785,793,804,808,862,863,864,886,888,892,907,946,951,977,989,991,1006,1018,1030,1039,1071,1076,1084,1107,1108,1130,1131,1147,1179,1180,1228,1230,1231,1245,1270,1284,1291,1310,1326,1335,1336,1338,1345,1346,1355,1377,1405,1441,1469,1473,1477,1480,1488,1497,1503
44.13041828732621,10,18,21,23,29,43,63,91,101,145,186,198,203,207,230,255,266,272,289,328,329,356,360,378,412,422,457,466,474,501,504,520,521,554,587,588,592,600,610,630,636,676,703,745,747,753,765,782,804,808,862,863,864,879,886,892,907,946,951,977,989,991,1006,1018,1030,1039,1071,1075,1076,1084,1086,1107,1130,1131,1179,1180,1228,1230,1231,1284,1291,1310,1323,1326,1336,1345,1346,1355,1370,1377,1405,1441,1469,1473,1477,1480,1488,1491,1497,1503
44.13041828732612,10,18,21,23,29,43,63,91,101,145,186,198,203,207,230,255,266,272,289,328,329,356,360,378,412,422,457,466,474,501,504,520,521,554,587,588,592,600,610,630,636,676,703,745,747,753,765,782,804,808,862,863,864,879,886,892,907,946,951,977,989,991,1006,1018,1030,1039,1071,1075,1076,1084,1086,1107,1130,1131,1179,1180,1228,1230,1231,1284,1291,1310,1323,1326,1336,1345,1346,1355,1370,1377,1405,1441,1469,1473,1477,1480,1488,1491,1497,1503
44.12978259906138,10,18,21,23,29,43,63,77,91,101,145,193,198,203,207,221,230,255,266,289,328,329,360,378,412,422,457,466,474,495,501,504,520,521,554,587,588,592,600,610,636,676,703,731,745,747,765,782,785,793,804,808,818,862,863,864,886,892,907,946,951,977,989,991,1006,1018,1030,1039,1071,1076,1107,1130,1131,1147,1179,1180,1228,1230,1231,1245,1270,1284,1291,1310,1326,1335,1336,1338,1345,1346,1355,1377,1405,1441,1469,1473,1477,1488,1497,1503
44.12969941539541,10,18,21,29,63,91,101,145,193,198,207,221,255,266,289,328,329,360,378,412,422,457,466,474,495,501,504,520,521,554,587,588,592,600,610,636,676,703,731,745,747,765,782,785,793,804,808,811,818,862,863,864,886,892,907,946,951,977,989,991,1006,1018,1030,1039,1071,1076,1084,1086,1103,1107,1130,1131,1159,1179,1180,1228,1230,1231,1245,1284,1291,1310,1326,1335,1336,1338,1345,1346,1355,1377,1405,1432,1441,1469,1473,1477,1480,1488,1497,1503
44.12950726381468,10,18,21,23,29,63,91,101,145,193,198,203,207,221,230,255,266,272,289,328,329,360,378,412,422,457,466,474,495,501,504,520,521,554,587,588,592,600,610,636,676,703,745,747,753,765,782,793,804,808,816,862,863,864,886,892,946,951,977,989,991,1006,1018,1030,1039,1071,1075,1076,1084,1107,1130,1131,1179,1180,1224,1228,1230,1231,1245,1270,1284,1291,1310,1323,1326,1335,1336,1345,1346,1355,1377,1405,1441,1469,1473,1477,1488,1491,1497,1503
44.129167401519666,10,18,21,23,29,43,63,77,91,101,145,193,198,207,230,255,266,289,328,329,360,378,412,422,457,466,474,495,501,504,520,521,554,587,588,592,600,610,636,676,703,731,745,747,765,782,785,793,804,808,818,862,863,864,886,892,907,946,951,977,989,991,1006,1018,1030,1039,1071,1075,1076,1103,1107,1130,1131,1147,1179,1180,1228,1230,1231,1245,1270,1284,1291,1310,1326,1335,1336,1338,1345,1346,1355,1377,1405,1441,1469,1473,1477,1488,1497,1503
