"val","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20"
3.65631482005119,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NSD2","G3NTD6","G3NXX5","G3P5V0","G3PDH7","G3PI27","G3PJ29","G3PP78","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3QBU5"
3.65577314794064,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NG36","G3NSD2","G3NTD6","G3NXX5","G3P5V0","G3PDH7","G3PI27","G3PJ29","G3PP78","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q7P7","G3QBU5"
3.65306767821312,"G3N508","G3N6B5","G3N738","G3N8J1","G3NCF7","G3NG36","G3NI23","G3NTD6","G3NUU3","G3NXX5","G3PFN1","G3PI27","G3PQX4","G3PUE2","G3PWE5","G3PY72","G3Q2Y3","G3Q7P7","G3Q9F3","G3QBU5"
3.65301732718945,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NG36","G3NSD2","G3NTD6","G3NXX5","G3P5V0","G3PDH7","G3PI27","G3PJ29","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q7P7","G3Q874","G3QBU5"
3.65297618508339,"G3N508","G3N6B5","G3N738","G3N8J1","G3NG36","G3NI23","G3NPV3","G3NTD6","G3NXX5","G3PJ29","G3PQX4","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3Q8M5","G3Q9F3","G3QBU5"
3.65111893415451,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NSD2","G3NTD6","G3NXX5","G3PDH7","G3PI27","G3PJ29","G3PQX4","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3QB34","G3QBU5"
3.65049827098846,"G3N508","G3N6B5","G3N738","G3N8J1","G3NDY7","G3NG36","G3NI23","G3NPV3","G3NTD6","G3NXX5","G3P5V0","G3PJ29","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3Q8M5","G3Q9F3","G3QBU5"
3.6496519446373,"G3N508","G3N6B5","G3N738","G3N8J1","G3NDY7","G3NG36","G3NI23","G3NPV3","G3NTD6","G3NXX5","G3P5V0","G3PJ29","G3PWE5","G3PY72","G3Q2Y3","G3Q7P7","G3Q8M5","G3Q9F3","G3Q9K3","G3QBU5"
3.64965096116066,"G3N508","G3N6B5","G3N738","G3N8J1","G3NG36","G3NI23","G3NSD2","G3NTD6","G3NXX5","G3PI27","G3PJ29","G3PQX4","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3Q9F3","G3QBU5"
3.64949384331703,"G3N508","G3N6B5","G3N738","G3N8J1","G3NCF7","G3NG36","G3NI23","G3NTD6","G3NUU3","G3NXX5","G3PFN1","G3PI27","G3PQX4","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3Q9F3","G3QBU5"
3.64820140600204,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NG36","G3NI23","G3NSD2","G3NTD6","G3NXX5","G3PHH2","G3PI27","G3PJ29","G3PQX4","G3PUE2","G3PWE5","G3PY72","G3Q7P7","G3Q9K3","G3QBU5"
3.64421996474266,"G3N508","G3N738","G3N754","G3N8J1","G3NBU5","G3NCF7","G3NDY7","G3NH29","G3NTD6","G3NU97","G3NXX5","G3NYX9","G3P2H2","G3P6S6","G3PIG1","G3PIZ9","G3PWE5","G3Q7P7","G3Q874","G3Q9K3"
3.64289307594299,"G3N508","G3N6B5","G3N738","G3N8J1","G3NI23","G3NLJ0","G3NPV3","G3NTD6","G3NU97","G3NXX5","G3P5V0","G3PJ29","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3Q8M5","G3Q9F3","G3QBU5"
3.64090585708618,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NSD2","G3NTD6","G3NXX5","G3P5V0","G3PDH7","G3PI27","G3PJ29","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3Q9F3","G3QBU5"
3.64029683172703,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NSD2","G3NTD6","G3NXX5","G3P3G8","G3PDH7","G3PI27","G3PJ29","G3PQX4","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3QBU5"
3.64029076695442,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NG36","G3NSD2","G3NTD6","G3NXX5","G3PI27","G3PJ29","G3PQX4","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q7P7","G3Q874","G3Q9K3","G3QBU5"
3.6398953795433,"G3N508","G3N6B5","G3N738","G3N8J1","G3NI23","G3NLJ0","G3NSD2","G3NTD6","G3NU97","G3NXX5","G3P5V0","G3PI27","G3PJ29","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3Q9F3","G3QBU5"
3.63824924826622,"G3N508","G3N738","G3N7U2","G3N8J1","G3NDY7","G3NG36","G3NPV3","G3NTD6","G3NXX5","G3NYX9","G3P2H2","G3P5V0","G3PDH7","G3PJ29","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3QBU5"
3.63746438920498,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NG36","G3NSD2","G3NTD6","G3NXX5","G3P5V0","G3PDH7","G3PI27","G3PJ29","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3QBU5"
3.63713696599007,"G3N508","G3N738","G3N754","G3N7Z3","G3N8J1","G3NBU5","G3NCF7","G3NH29","G3NTD6","G3NU97","G3NXX5","G3NY86","G3NYX9","G3P6S6","G3PIG1","G3PIZ9","G3PWE5","G3Q2Y3","G3Q7P7","G3Q874"
3.63600790500641,"G3N508","G3N6B5","G3N738","G3N8J1","G3NG36","G3NI23","G3NLJ0","G3NSD2","G3NTD6","G3NXX5","G3P5V0","G3PI27","G3PJ29","G3PWE5","G3PY72","G3Q289","G3Q7P7","G3Q874","G3Q9F3","G3QBU5"
3.63509771227837,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NG36","G3NSD2","G3NTD6","G3NXX5","G3PDH7","G3PI27","G3PJ29","G3PQX4","G3PUE2","G3PWE5","G3PY72","G3Q289","G3Q7P7","G3Q9F3","G3QBU5"
3.63456121087074,"G3N508","G3N6B5","G3N738","G3N8J1","G3NCF7","G3NG36","G3NI23","G3NTD6","G3NUU3","G3NXX5","G3PFN1","G3PI27","G3PQX4","G3PUE2","G3PY72","G3Q289","G3Q2Y3","G3Q7P7","G3Q9F3","G3QBU5"
3.63304781913757,"G3N508","G3N6B5","G3N738","G3N7U2","G3N8J1","G3NBU5","G3NDY7","G3NSD2","G3NTD6","G3P5V0","G3PI27","G3PJ29","G3PP78","G3PWE5","G3PY72","G3PY99","G3Q2Y3","G3Q7P7","G3Q9K3","G3QBU5"
